source,season,tournament,date,round,group,home_team,away_team,home_code,away_code,home_goals,away_goals,home_goals_ht,away_goals_ht,venue,city,status,home_xg,away_xg
openfootball,2010,South Africa 2010,2010-06-11 00:00:00+00:00,Matchday 1,Group A,South Africa,Mexico,,,1.0,1.0,,,"Soccer City, Johannesburg","Soccer City, Johannesburg",completed,,
openfootball,2010,South Africa 2010,2010-06-11 00:00:00+00:00,Matchday 1,Group A,Uruguay,France,,,0.0,0.0,,,"Cape Town Stadium, Cape Town","Cape Town Stadium, Cape Town",completed,,
openfootball,2010,South Africa 2010,2010-06-16 00:00:00+00:00,Matchday 6,Group A,South Africa,Uruguay,,,0.0,3.0,,,"Loftus Versfeld Stadium, Pretoria","Loftus Versfeld Stadium, Pretoria",completed,,
openfootball,2010,South Africa 2010,2010-06-17 00:00:00+00:00,Matchday 7,Group A,France,Mexico,,,0.0,2.0,,,"Peter Mokaba Stadium, Polokwane","Peter Mokaba Stadium, Polokwane",completed,,
openfootball,2010,South Africa 2010,2010-06-22 00:00:00+00:00,Matchday 12,Group A,Mexico,Uruguay,,,0.0,1.0,,,"Royal Bafokeng Stadium, Rustenburg","Royal Bafokeng Stadium, Rustenburg",completed,,
openfootball,2010,South Africa 2010,2010-06-22 00:00:00+00:00,Matchday 12,Group A,France,South Africa,,,1.0,2.0,,,"Free State Stadium, Bloemfontein","Free State Stadium, Bloemfontein",completed,,
openfootball,2010,South Africa 2010,2010-06-12 00:00:00+00:00,Matchday 2,Group B,South Korea,Greece,,,2.0,0.0,,,"Nelson Mandela Bay Stadium, Port Elizabeth","Nelson Mandela Bay Stadium, Port Elizabeth",completed,,
openfootball,2010,South Africa 2010,2010-06-12 00:00:00+00:00,Matchday 2,Group B,Argentina,Nigeria,,,1.0,0.0,,,"Ellis Park Stadium, Johannesburg","Ellis Park Stadium, Johannesburg",completed,,
openfootball,2010,South Africa 2010,2010-06-17 00:00:00+00:00,Matchday 7,Group B,Argentina,South Korea,,,4.0,1.0,,,"Soccer City, Johannesburg","Soccer City, Johannesburg",completed,,
openfootball,2010,South Africa 2010,2010-06-17 00:00:00+00:00,Matchday 7,Group B,Greece,Nigeria,,,2.0,1.0,,,"Free State Stadium, Bloemfontein","Free State Stadium, Bloemfontein",completed,,
openfootball,2010,South Africa 2010,2010-06-22 00:00:00+00:00,Matchday 12,Group B,Nigeria,South Korea,,,2.0,2.0,,,"Moses Mabhida Stadium, Durban","Moses Mabhida Stadium, Durban",completed,,
openfootball,2010,South Africa 2010,2010-06-22 00:00:00+00:00,Matchday 12,Group B,Greece,Argentina,,,0.0,2.0,,,"Peter Mokaba Stadium, Polokwane","Peter Mokaba Stadium, Polokwane",completed,,
openfootball,2010,South Africa 2010,2010-06-12 00:00:00+00:00,Matchday 2,Group C,England,USA,,,1.0,1.0,,,"Royal Bafokeng Stadium, Rustenburg","Royal Bafokeng Stadium, Rustenburg",completed,,
openfootball,2010,South Africa 2010,2010-06-13 00:00:00+00:00,Matchday 3,Group C,Algeria,Slovenia,,,0.0,1.0,,,"Peter Mokaba Stadium, Polokwane","Peter Mokaba Stadium, Polokwane",completed,,
openfootball,2010,South Africa 2010,2010-06-18 00:00:00+00:00,Matchday 8,Group C,Slovenia,USA,,,2.0,2.0,,,"Ellis Park Stadium, Johannesburg","Ellis Park Stadium, Johannesburg",completed,,
openfootball,2010,South Africa 2010,2010-06-18 00:00:00+00:00,Matchday 8,Group C,England,Algeria,,,0.0,0.0,,,"Cape Town Stadium, Cape Town","Cape Town Stadium, Cape Town",completed,,
openfootball,2010,South Africa 2010,2010-06-23 00:00:00+00:00,Matchday 13,Group C,USA,Algeria,,,1.0,0.0,,,"Loftus Versfeld Stadium, Pretoria","Loftus Versfeld Stadium, Pretoria",completed,,
openfootball,2010,South Africa 2010,2010-06-23 00:00:00+00:00,Matchday 13,Group C,Slovenia,England,,,0.0,1.0,,,"Nelson Mandela Bay Stadium, Port Elizabeth","Nelson Mandela Bay Stadium, Port Elizabeth",completed,,
openfootball,2010,South Africa 2010,2010-06-13 00:00:00+00:00,Matchday 3,Group D,Serbia,Ghana,,,0.0,1.0,,,"Loftus Versfeld Stadium, Pretoria","Loftus Versfeld Stadium, Pretoria",completed,,
openfootball,2010,South Africa 2010,2010-06-13 00:00:00+00:00,Matchday 3,Group D,Germany,Australia,,,4.0,0.0,,,"Moses Mabhida Stadium, Durban","Moses Mabhida Stadium, Durban",completed,,
openfootball,2010,South Africa 2010,2010-06-18 00:00:00+00:00,Matchday 8,Group D,Germany,Serbia,,,0.0,1.0,,,"Nelson Mandela Bay Stadium, Port Elizabeth","Nelson Mandela Bay Stadium, Port Elizabeth",completed,,
openfootball,2010,South Africa 2010,2010-06-19 00:00:00+00:00,Matchday 9,Group D,Ghana,Australia,,,1.0,1.0,,,"Royal Bafokeng Stadium, Rustenburg","Royal Bafokeng Stadium, Rustenburg",completed,,
openfootball,2010,South Africa 2010,2010-06-23 00:00:00+00:00,Matchday 13,Group D,Australia,Serbia,,,2.0,1.0,,,"Mbombela Stadium, Nelspruit","Mbombela Stadium, Nelspruit",completed,,
openfootball,2010,South Africa 2010,2010-06-23 00:00:00+00:00,Matchday 13,Group D,Ghana,Germany,,,0.0,1.0,,,"Soccer City, Johannesburg","Soccer City, Johannesburg",completed,,
openfootball,2010,South Africa 2010,2010-06-14 00:00:00+00:00,Matchday 4,Group E,Netherlands,Denmark,,,2.0,0.0,,,"Soccer City, Johannesburg","Soccer City, Johannesburg",completed,,
openfootball,2010,South Africa 2010,2010-06-14 00:00:00+00:00,Matchday 4,Group E,Japan,Cameroon,,,1.0,0.0,,,"Free State Stadium, Bloemfontein","Free State Stadium, Bloemfontein",completed,,
openfootball,2010,South Africa 2010,2010-06-19 00:00:00+00:00,Matchday 9,Group E,Netherlands,Japan,,,1.0,0.0,,,"Moses Mabhida Stadium, Durban","Moses Mabhida Stadium, Durban",completed,,
openfootball,2010,South Africa 2010,2010-06-19 00:00:00+00:00,Matchday 9,Group E,Cameroon,Denmark,,,1.0,2.0,,,"Loftus Versfeld Stadium, Pretoria","Loftus Versfeld Stadium, Pretoria",completed,,
openfootball,2010,South Africa 2010,2010-06-24 00:00:00+00:00,Matchday 14,Group E,Denmark,Japan,,,1.0,3.0,,,"Royal Bafokeng Stadium, Rustenburg","Royal Bafokeng Stadium, Rustenburg",completed,,
openfootball,2010,South Africa 2010,2010-06-24 00:00:00+00:00,Matchday 14,Group E,Cameroon,Netherlands,,,1.0,2.0,,,"Cape Town Stadium, Cape Town","Cape Town Stadium, Cape Town",completed,,
openfootball,2010,South Africa 2010,2010-06-14 00:00:00+00:00,Matchday 4,Group F,Italy,Paraguay,,,1.0,1.0,,,"Cape Town Stadium, Cape Town","Cape Town Stadium, Cape Town",completed,,
openfootball,2010,South Africa 2010,2010-06-15 00:00:00+00:00,Matchday 5,Group F,New Zealand,Slovakia,,,1.0,1.0,,,"Royal Bafokeng Stadium, Rustenburg","Royal Bafokeng Stadium, Rustenburg",completed,,
openfootball,2010,South Africa 2010,2010-06-20 00:00:00+00:00,Matchday 10,Group F,Slovakia,Paraguay,,,0.0,2.0,,,"Free State Stadium, Bloemfontein","Free State Stadium, Bloemfontein",completed,,
openfootball,2010,South Africa 2010,2010-06-20 00:00:00+00:00,Matchday 10,Group F,Italy,New Zealand,,,1.0,1.0,,,"Mbombela Stadium, Nelspruit","Mbombela Stadium, Nelspruit",completed,,
openfootball,2010,South Africa 2010,2010-06-24 00:00:00+00:00,Matchday 14,Group F,Slovakia,Italy,,,3.0,2.0,,,"Ellis Park Stadium, Johannesburg","Ellis Park Stadium, Johannesburg",completed,,
openfootball,2010,South Africa 2010,2010-06-24 00:00:00+00:00,Matchday 14,Group F,Paraguay,New Zealand,,,0.0,0.0,,,"Peter Mokaba Stadium, Polokwane","Peter Mokaba Stadium, Polokwane",completed,,
openfootball,2010,South Africa 2010,2010-06-15 00:00:00+00:00,Matchday 5,Group G,Côte d'Ivoire,Portugal,,,0.0,0.0,,,"Nelson Mandela Bay Stadium, Port Elizabeth","Nelson Mandela Bay Stadium, Port Elizabeth",completed,,
openfootball,2010,South Africa 2010,2010-06-15 00:00:00+00:00,Matchday 5,Group G,Brazil,North Korea,,,2.0,1.0,,,"Ellis Park Stadium, Johannesburg","Ellis Park Stadium, Johannesburg",completed,,
openfootball,2010,South Africa 2010,2010-06-20 00:00:00+00:00,Matchday 10,Group G,Brazil,Côte d'Ivoire,,,3.0,1.0,,,"Soccer City, Johannesburg","Soccer City, Johannesburg",completed,,
openfootball,2010,South Africa 2010,2010-06-21 00:00:00+00:00,Matchday 11,Group G,Portugal,North Korea,,,7.0,0.0,,,"Cape Town Stadium, Cape Town","Cape Town Stadium, Cape Town",completed,,
openfootball,2010,South Africa 2010,2010-06-25 00:00:00+00:00,Matchday 15,Group G,Portugal,Brazil,,,0.0,0.0,,,"Moses Mabhida Stadium, Durban","Moses Mabhida Stadium, Durban",completed,,
openfootball,2010,South Africa 2010,2010-06-25 00:00:00+00:00,Matchday 15,Group G,North Korea,Côte d'Ivoire,,,0.0,3.0,,,"Mbombela Stadium, Nelspruit","Mbombela Stadium, Nelspruit",completed,,
openfootball,2010,South Africa 2010,2010-06-16 00:00:00+00:00,Matchday 6,Group H,Honduras,Chile,,,0.0,1.0,,,"Mbombela Stadium, Nelspruit","Mbombela Stadium, Nelspruit",completed,,
openfootball,2010,South Africa 2010,2010-06-16 00:00:00+00:00,Matchday 6,Group H,Spain,Switzerland,,,0.0,1.0,,,"Moses Mabhida Stadium, Durban","Moses Mabhida Stadium, Durban",completed,,
openfootball,2010,South Africa 2010,2010-06-21 00:00:00+00:00,Matchday 11,Group H,Chile,Switzerland,,,1.0,0.0,,,"Nelson Mandela Bay Stadium, Port Elizabeth","Nelson Mandela Bay Stadium, Port Elizabeth",completed,,
openfootball,2010,South Africa 2010,2010-06-21 00:00:00+00:00,Matchday 11,Group H,Spain,Honduras,,,2.0,0.0,,,"Ellis Park Stadium, Johannesburg","Ellis Park Stadium, Johannesburg",completed,,
openfootball,2010,South Africa 2010,2010-06-25 00:00:00+00:00,Matchday 15,Group H,Chile,Spain,,,1.0,2.0,,,"Loftus Versfeld Stadium, Pretoria","Loftus Versfeld Stadium, Pretoria",completed,,
openfootball,2010,South Africa 2010,2010-06-25 00:00:00+00:00,Matchday 15,Group H,Switzerland,Honduras,,,0.0,0.0,,,"Free State Stadium, Bloemfontein","Free State Stadium, Bloemfontein",completed,,
openfootball,2010,South Africa 2010,2010-06-26 00:00:00+00:00,Round of 16,Round of 16,Uruguay,South Korea,,,2.0,1.0,,,"Nelson Mandela Bay Stadium, Port Elizabeth","Nelson Mandela Bay Stadium, Port Elizabeth",completed,,
openfootball,2010,South Africa 2010,2010-06-26 00:00:00+00:00,Round of 16,Round of 16,USA,Ghana,,,1.0,1.0,,,"Royal Bafokeng Stadium, Rustenburg","Royal Bafokeng Stadium, Rustenburg",completed,,
openfootball,2010,South Africa 2010,2010-06-27 00:00:00+00:00,Round of 16,Round of 16,Germany,England,,,4.0,1.0,,,"Free State Stadium, Bloemfontein","Free State Stadium, Bloemfontein",completed,,
openfootball,2010,South Africa 2010,2010-06-27 00:00:00+00:00,Round of 16,Round of 16,Argentina,Mexico,,,3.0,1.0,,,"Soccer City, Johannesburg","Soccer City, Johannesburg",completed,,
openfootball,2010,South Africa 2010,2010-06-28 00:00:00+00:00,Round of 16,Round of 16,Netherlands,Slovakia,,,2.0,1.0,,,"Moses Mabhida Stadium, Durban","Moses Mabhida Stadium, Durban",completed,,
openfootball,2010,South Africa 2010,2010-06-28 00:00:00+00:00,Round of 16,Round of 16,Brazil,Chile,,,3.0,0.0,,,"Ellis Park Stadium, Johannesburg","Ellis Park Stadium, Johannesburg",completed,,
openfootball,2010,South Africa 2010,2010-06-29 00:00:00+00:00,Round of 16,Round of 16,Paraguay,Japan,,,0.0,0.0,,,"Loftus Versfeld Stadium, Pretoria","Loftus Versfeld Stadium, Pretoria",completed,,
openfootball,2010,South Africa 2010,2010-06-29 00:00:00+00:00,Round of 16,Round of 16,Spain,Portugal,,,1.0,0.0,,,"Cape Town Stadium, Cape Town","Cape Town Stadium, Cape Town",completed,,
openfootball,2010,South Africa 2010,2010-07-02 00:00:00+00:00,Quarterfinals,Quarterfinals,Netherlands,Brazil,,,2.0,1.0,,,"Nelson Mandela Bay Stadium, Port Elizabeth","Nelson Mandela Bay Stadium, Port Elizabeth",completed,,
openfootball,2010,South Africa 2010,2010-07-02 00:00:00+00:00,Quarterfinals,Quarterfinals,Uruguay,Ghana,,,1.0,1.0,,,"Soccer City, Johannesburg","Soccer City, Johannesburg",completed,,
openfootball,2010,South Africa 2010,2010-07-03 00:00:00+00:00,Quarterfinals,Quarterfinals,Argentina,Germany,,,0.0,4.0,,,"Cape Town Stadium, Cape Town","Cape Town Stadium, Cape Town",completed,,
openfootball,2010,South Africa 2010,2010-07-03 00:00:00+00:00,Quarterfinals,Quarterfinals,Paraguay,Spain,,,0.0,1.0,,,"Ellis Park Stadium, Johannesburg","Ellis Park Stadium, Johannesburg",completed,,
openfootball,2010,South Africa 2010,2010-07-06 00:00:00+00:00,Semifinals,Semifinals,Uruguay,Netherlands,,,2.0,3.0,,,"Cape Town Stadium, Cape Town","Cape Town Stadium, Cape Town",completed,,
